Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
P25_D1,0.030204537936252423,0,0,0,0.14792354201871252,0.24834186059132443,0.027146269479930103,0,0,0,0.0669340374055114,0,0.08406936063370476,0,0,0,0,0.007431081561660064,0,0,0,0.3879493103729042,0.01,0.47129250852546656,0.9039283600279006
P26_D0,0.015216479364993938,0,0.006227454912087756,0,0.14429583591103337,0.07636207446529293,0.02476576430687692,0,0,0,0.04666239020337071,0,0,0,0,0,0,0.011544427654690683,0.01238562087238564,0,0,0.6625399523092681,0,0.6127179355227028,0.8549050265729146
P26_D3,0.016296587946035702,0,0,0.06301517827172753,0.19823764332990448,0.2008255920901473,0.0040179524426697194,0,0,0,0.05608164338025694,0,0.19753455002639944,0,0,0,0,0.0021145187868274527,0.0113683638477724,0,0,0.2505079698782591,0.01,0.5304451675644253,0.8495542141664603
P27_D0,0.06434818561784265,0,0.006342204752033258,0,0.13433906360514122,0.055111533614236936,0.032186315932522934,0,0,0.0031735391105958445,0.059515332485300096,0,0,0,0,0,0,0.015652912149929633,0.0003,0,0,0.629052040155749,0,0.6353252961717648,0.8161835584932114
P27_D1,0.007890393895277435,0,0,0,0.1236764398526323,0.03459836290567873,0.02894724944757042,0,0,0,0.04232084500362905,0,0,0,0,0.0019696984167490677,0,0.013370584365791149,0.013760776608122603,0,0,0.7334656495045492,0,0.6999104894305238,0.7867274428606921
P28_D0,0.0436602211858086,0,0,0,0.10774783363876778,0.01525068314817013,0.03135060251122534,0,0,0.009809541343405188,0.0650985117757124,0,0.07092825821636962,0.02602659646052381,0,0,0,0.009278589073331527,0,0.0082056843424702,0,0.6126434783042154,0,0.7446117386602159,0.6901005355170441
P28_D3,0.031353340672035906,0,0,0.020956777280763682,0.052329164267318276,0.14961714240487306,0.01021145185410947,0,0.008746904621036729,0,0.05480293936618479,0,0.22662908420754013,0,0,0,0,0.004673394902055753,0.017244967061735384,0,0,0.4234348333623468,0,0.735500447678818,0.6794599486656843
P29_D0,0.0764387325938476,0,0.007343217996822554,0,0.14127377983913886,0.08848246917232826,0.024959809479796452,0,0,0,0.035378414865361286,0,0.01018161319874036,0,0,0.018841454176521465,0,0.009939305143960176,0.019691482425865048,0,0,0.567469721107618,0.01,0.4774891219568305,0.9436410797105188
P29_D7,0.01750168899660807,0,0,0.1259584795963101,0.1649120302858544,0.1417120209605898,0.006342468450841504,0,0.0029660146624865295,0,0.056790131957537064,0,0.14710168799863194,0,0,0,0,0,0.01762424228789574,0,0,0.3190912348032448,0,0.694033952522581,0.7231015656132614
P30_D0,0.0710809387016965,0,0.010798928298542353,0,0.15893695824613632,0.09827722272929769,0.020047023632246745,0,0,0,0.014733844899998162,0,0,0,0,0,0,0.011559848078056762,0.01969246626916087,0,0,0.5948727691448645,0,0.7415025597698558,0.6832506622759186
P30_D1,0.021046800221974343,0,0.00719853021875892,0.009520390023808585,0.13604646701684456,0.11535473626487004,0.0240474229997036,0,0,0,0.034117532156859705,0,0.07884414087041926,0,0,0,0,0.007438295707331477,0.01540835811353067,0,0,0.5509773264058988,0,0.7110753201932318,0.7152210379216078
P31_D0,0.0507661602361945,0,0.0020966001788165264,0,0.15145201402806505,0.06370105978066552,0.016994379626328465,0,0,0,0.031067073559398584,0,0.0992652562482879,0.0206625098885106,0,0,0,0.007360171286755685,0.017870243624330876,0,0,0.5387645315426463,0,0.7371491384529945,0.6837981505070565
P31_D3,0.01911667336240923,0,0,0.05451690460461965,0.07614336122715684,0.222393167023982,0,0,0.036132323885564074,0,0.1066778466847621,0,0.25943306388477694,0,0,0,0,0.0025120404415428506,0.010462799008696726,0,0,0.21261181987648964,0,0.6952423803016958,0.7282135029274271
P32_D0,0.022826301833312156,0,0.011915882527871485,0,0.10467063566207374,0.0725357170635151,0.034218932792595136,0,0,0,0.01686294987236152,0,0.0034460725673949545,0,0,0,0,0.0076458860223787145,0.025884689891335144,0,0,0.699992931767162,0,0.7898980855683323,0.6462139351563118
P32_D7,0.011129467752631836,0,0,0.0812546068841688,0.11435012623770176,0.13945183071469822,0,0,0.0074113448239272505,0,0.06136185086994198,0.005397612913479869,0.24319600064404107,0,0,0,0,0,0.024194218232760398,0,0,0.3122529409266488,0,0.7204693327023161,0.6982113887996281
P33_D0,0.023017758910923176,0,0,0,0.17451503554200487,0.11513505965784597,0.02584945978774895,0,0,0,0.04362939820963693,0,0.09341589983207364,0,0,0,0,0.0071932446729411036,0.013041680247854376,0,0,0.504202463138971,0,0.7287120702860138,0.6892167957464189
P33_D1,0.018058926536986968,0,0.006704376833534003,0.016401683995631966,0.13520511436010238,0.11140163282858215,0.02811609804005588,0,0,0,0.044692492090517115,0,0.07533863555379569,0,0,0,0,0.009277587444590974,0.011259681060746577,0,0,0.5435437712554563,0,0.7479283291432054,0.6706556129606195
P34_D0,0.010281995553476976,0,0.00559426086605799,0,0.17171936845307317,0.15404741084725854,0.026652921660503225,0,0,0,0.0480863034220733,0,0.0228808382834593,0,0,0,0,0.006661595077020154,0.004328501318716036,0,0,0.5497468045183612,0,0.6455337176110492,0.7841107080297455
P34_D3,0.0009,0,0,0.057800160094705434,0.2548870128914755,0.17277962043701298,0.005506305508357345,0,0.003658668741831255,0,0.039379855456345814,0,0.14252440709367722,0,0,0,0,0.0015367886815726528,0.007930737291035017,0,0,0.3131136834160303,0,0.5868394500061384,0.8109864717476378
P35_D0,0.029231860354582816,0,0,0,0.14483186135469364,0.14934664570877385,0.022991228203029394,0,0,0,0.04231652360182141,0,0.05664127220272361,0,0,0,0,0.006015523896506137,0.01372770972403052,0,0,0.5348973749538386,0,0.7317802168919624,0.6882158390143657
P35_D3,0.02952189620008788,0,0,0.012252736128293867,0.15173283098377285,0.19851022975881474,0.006596318267560799,0,0,0,0.053321497585856685,0,0.21357757427841206,0,0,0.007747690766186872,0,0.002042030595084625,0.013035020264625581,0,0,0.31166217517130396,0,0.6885334390692954,0.7274235165785747
